State,District,Subdistt,Ward,Town/Village,Name,AREA,T_HH,Class,TOT_P,T_M,T_F,SC_P,SC_M,SC_F,ST_P,ST_M,ST_F,EDU_FAC,P_SCH,RANG_P_SCH,M_SCH,RANG_M_SCH,S_SCH,S_S_SCH,COLLEGE,RANG_COLL,IND_SCH,TR_SCH,ADLT_LT_CT,OTH_SCH,MEDI_FAC,ALL_HOSP,RANG_ALL,AYU_HOSP,UN_HOSP,HOM_HOSP,ALL_DISP,AYU_DISP,UN_DISP,HOM_DISP,MCW_CNTR,RANG_MCW,M_HOME,CWC,H_CNTR,PH_CNTR,RANG_PHC,PHS_CNT,FWC_CNTR,TB_CLN,N_HOME,RMP,SMP,CHW,OTH_CNTR,DRNK_WAT_F,RANG_WAT_F,TAP,WELL,TANK,TUBEWELL,HANDPUMP,RIVER,CANAL,LAKE,SPRING,OTHER,SOU_SUMM,RANG_SS,SS_CODE,P_T_FAC,POST_OFF,RANG_PO,TELE_OFF,POST_TELE,PHONE,RANG_PHONE,COMM_FAC,BS_FAC,RANG_BS,RS_FAC,RANG_RS,NW_FAC,RANG_NW,BANK_FAC,COMM_BANK,RANG_COMM,COOP_BANK,RANG_COOP,CRSOC_FAC,AC_SOC,RANG_ACS,NAC_SOC,RANG_NAC,OTHER_SOC,RANG_OTH,RC_FAC,C_V_HALL,RANG_CV,SP_CL_FAC,RANG_SPCL,ST_AU_FAC,RANG_STAU,APP_PR,APP_MR,APP_FP,APP_NAVRIV,APP_NAVCAN,APP_NW,NEAR_TOWN,DIST_TOWN,POWER_SUPL,POWER_DOM,POWER_AGR,POWER_OTH,POWER_ALL,PAP_MAG,NEWS_PAP,MAGAZINE,A_INCEXP,TOT_INC,TOT_EXP,MAN_COMM1,MAN_COMM2,MAN_COMM3,LAND_FORES,CANAL_GOVT,CANAL_PVT,WELL_WO_EL,WELL_W_EL,TW_WO_EL,TW_W_EL,TANK_IRR,RIVER_IRR,LAKE_IRR,W_FALL,OTH_IRR,TOT_IRR,UN_IRR,CULT_WASTE,AREA_NA_CU, DENSITY , SEX_1981 ,SEX_1991,SEX_2001,AVG_RAIN,MAX_TEMP,MIN_TEMP,STATE_H_NA,SH_DIST,DIST_H_NA,DH_DIST,HD_H_NA,SD_DIST,DIST_TH_HQ,TH_DIST,CITY_1LAKH,CITY_DIST,RAILWAY_ST,RAIL_DIST,BUS_ROUTE,BR_DIST,NAV_R_C,NAV_DIST,REC_TAX,REV_M_T,GOVT_GRANT,LOAN,ADVANCE,OTH_SOUR,TOT_REC,GEN_ADM,PUB_SAF,PUB_H_C,PUB_WORKS,PUB_INST,OTH_EXP,TOT_EXP, POPULATION , SC_POP , ST_POP ,K_ROAD,P_ROAD,SEWER, WATER_BOR , SERVICE , LAT_OTH ,METH_D_N_S,SOU_OF_SUP,SYS_STOR,STOR_CAP,FIRE_F_SER,F_F_NAME,DIST_F_SER, EL_DOM , EL_IND , EL_COM , EL_ROAD_L , EL_OTHERS ,HOSPITALS, HOS_BEDS ,HT_NAME,DISP,DISP_BEDS,DT_NAME,HEALTH_CTR,HC_BEDS,HCT_NAME,F_W_CTR,FWC_BEDS,FWCT_NAME,TB_CLINIC,TBC_BEDS,TBC_NAME,NUR_HOMES, NH_BEDS ,NHT_NAME,MED_OTH,OTHMI_BEDS,ARTS,SCIENCE,COMMERCE,ARTS_SCI,ARTS_COMM,ART_SC_CO,LAW,UNIV,OTH_COL,ASC_NEAR,MEDICAL,MEDI_NEAR,ENGG,ENGG_NEAR,POLYTECH,POLY_NEAR,VT_INST,SH_INST,TYPE_INST,SH_TYPE_IN,OTH_INST_S,S_SEC,SS_NEAR,SECONDARY,SEC_NEAR,MIDDLE,MID_NEAR,PRIMARY,PRIM_NEAR,ADULT_CNT,ALC_NEAR,OTH_CNTR,N_HOSTELS,N_SEATS,WWH_DIST,RC_FAC,STADIUM,CINEMA,AUDITORIUM,P_LIB,R_ROOMS,IMP_COM1,IMP_COM2,IMP_COM3,EXP_COMM1,EXP_COMM2,EXP_COMM3,MAN_COMM1,MAN_COMM2,MAN_COMM3,BANKS,A_C_SOC,N_A_C_SOC
30,02,0001,0001,00022400,Cansaulim,191,545,C,2333,1085,1248,4,2,2,0,0,0,1,5,0,1,0,1,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,4,0,0,0,1,0,1,1,1,2,2,2,2,1,2,2,T,0,,1,1,0,0,1,6,0,1,1,0,1,0,2,2,1,1,0,2,0,1,1,0,0,2,0,2,1,0,3,2,0,0,3,1,1,2,2,2,2,MORMUGAO,14,1,0,0,0,1,1,N,M,1,623306,389343,COCONUTS,CASHEW NUTS,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159.95,1.64,29.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0001,0001,00022500,Arossim,340,408,D,1708,810,898,23,13,10,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,0,0,2,0,0,0,1,0,1,1,2,2,2,2,2,2,1,2,T,0,,1,0,1,0,0,5,0,1,1,0,2,1,2,3,2,0,1,0,3,2,0,3,0,3,0,3,1,1,0,1,0,0,3,1,1,1,2,2,2,CHICALIM,12,1,0,0,0,1,1,N,M,1,623306,389343,COCONUTS,BAKERY PRODUCTS,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,285.90,12.91,41.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0002,0001,00022600,Nagoa,518,609,C,2944,1390,1554,8,3,5,0,0,0,1,3,0,2,0,2,0,0,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,2,2,2,2,2,2,1,2,T,0,,1,0,1,0,0,4,0,1,1,0,2,1,2,1,1,1,0,1,0,1,1,0,0,3,0,3,1,0,3,1,0,0,3,1,2,2,2,2,2,MARGAO,11,1,0,0,0,1,1,N,M,1,1926874,1306307,WASHING MACHINE,MEDICINE,SOFT WEAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.48,0.00,0.00,13.48,258.71,82.59,163.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0002,0001,00022700,Verna,1490,1255,B,6000,2907,3093,47,21,26,0,0,0,1,6,0,2,0,2,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,1,0,0,2,0,0,0,1,0,1,1,2,2,2,2,2,2,1,2,T,0,,1,1,0,0,1,13,0,1,1,0,1,0,2,2,1,1,0,0,1,2,0,1,0,2,0,2,1,0,2,1,0,0,2,1,2,2,2,2,2,MARGAO,10,1,0,0,0,1,1,N,M,1,742157,695520,MEDICINE,BAKERY PRODUCTS,WATCHES,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.34,0.00,0.00,76.34,620.10,330.42,463.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0002,0002,00022800,Loutulim,1781,1190,B,5644,2732,2912,19,9,10,0,0,0,1,4,0,2,0,1,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,3,0,0,0,1,0,1,1,2,2,2,2,2,2,2,2,T,0,,1,1,0,0,1,10,0,1,1,0,2,2,1,0,1,1,0,0,2,2,0,2,0,2,0,2,1,0,2,1,0,0,2,1,1,1,1,2,2,MARGAO,9,1,0,0,0,1,1,N,M,1,509895,137097,RICE,COCONUTS,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.33,0.00,0.00,42.33,813.21,400.39,525.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0002,0002,00022900,Camurlim,340,483,C,2040,977,1063,4,4,0,0,0,0,1,2,0,0,1,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,2,2,2,2,2,2,2,2,T,0,,1,1,0,0,0,3,0,1,1,0,2,2,2,2,1,1,0,0,2,2,0,2,0,2,0,2,1,0,2,1,0,0,2,1,1,1,2,2,2,MARGAO,8,1,0,0,0,1,1,N,M,1,183499,153278,PAPAD,PICKLE,PICKLEOFDRYFISH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.68,0.00,0.00,5.68,206.13,94.48,33.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0002,0002,00023000,Nuvem,1092,1754,A,8162,3877,4285,21,10,11,2,2,0,1,4,0,2,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,2,0,0,0,1,0,1,1,1,2,2,2,2,2,2,2,T,0,,1,1,0,0,0,8,0,1,1,0,2,1,2,3,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,2,1,2,2,2,MARGAO,4,1,0,0,0,1,1,N,M,1,459600,443158,WINE,PICKLE,BAKERY PRODUCTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.77,5.77,787.40,103.05,195.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0002,0001,00023100,Calata,165,398,D,1686,814,872,17,10,7,0,0,0,1,4,0,0,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,1,1,2,2,2,2,2,2,2,2,T,0,,1,0,1,0,0,1,0,1,1,0,2,2,2,2,2,0,2,0,2,2,0,1,0,2,0,2,1,0,2,1,0,0,2,1,2,2,2,2,2,MARGAO,7,1,0,0,0,1,1,N,M,1,1728428,1195762,COCONUT OIL,WOODENFURNITURE,CEREALS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.06,1.06,151.78,0.20,12.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0002,0001,00023200,Majorda,438,709,C,2968,1426,1542,12,6,6,0,0,0,1,3,0,2,0,2,1,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,3,0,0,0,1,0,1,1,2,2,2,2,2,2,2,2,T,0,,1,1,0,0,1,8,0,1,1,0,1,0,2,2,1,1,0,0,2,1,1,0,0,2,0,2,1,0,2,1,0,0,2,1,2,2,2,2,2,MARGAO,8,1,0,0,0,1,1,N,M,1,1728428,1195762,COCONUTS,WATERMELONS,CEREALS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.19,8.19,386.09,3.03,40.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,02,0002,0001,00023300,Utorda,314,459,C,2096,993,1103,0,0,0,0,0,0,1,2,0,1,0,1,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,2,2,2,2,2,2,2,2,T,0,,1,1,0,0,0,1,0,1,1,0,2,1,2,2,1,1,0,0,2,2,0,1,0,2,0,2,1,0,2,1,0,0,2,1,2,2,2,2,2,MARGAO,10,1,0,0,0,1,1,N,M,1,1728428,1195762,COCONUTS,WATERMELONS,CEREALS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,6.89,270.19,2.10,35.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
