State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,Area (in ha),TOT_P,Urb_Under_MC/VP,Class,VP/MC,VP Area,VP Population,Forest Area (in Hectares),Area under Non-Agricultural Uses (in Hectares),Barren & Un-cultivable Land Area (in Hectares),Permanent Pastures and Other Grazing Land Area (in Hectares),Land Under Miscellaneous Tree Crops etc. Area (in Hectares),Culturable Waste Land Area (in Hectares),Fallows Land other than Current Fallows Area (in Hectares),Current Fallows Area (in Hectares),Net Area Sown (in Hectares),Total Unirrigated Land Area (in Hectares),Area Irrigated by Source (in Hectares),Canals Area (in Hectares),Wells/Tube Wells Area (in Hectares),Tanks/Lakes Area (in Hectares),Waterfall Area (in Hectares),Other Source (specify) Area (in Hectares)
30,585,5612,626743,0,0,VILLAGE,Salem,Rural,1069.53,3427,,C,Salem,1069.53,3427,0,55,81,380,20,25,12,8,488.53,439.53,49,36,13,0,0,0
30,586,5618,626972,0,0,VILLAGE,Sancordem,Rural,2117,1233,,D,Sancordem,10182,4114,1207.6,220,0,0,0,344,0,0,345.4,300,45.4,0,22.9,0,0,22.5
30,586,5618,626979,0,0,VILLAGE,Sangod,Rural,1603,1083,,D,Molem,5268,2798,482.9,140.5,0,0,0,547.4,0,0,432.2,380.7,51.5,20,14,0,0,17.5
30,585,5610,626688,0,0,VILLAGE,Sangolda,Rural,339.29,4429,,C,Sangolda,339.29,4429,41.12,42.27,0,0,45.26,65.5,0,0,145.14,145.14,0,0,0,0,0,0
30,586,5618,626987,0,0,VILLAGE,Santona,Rural,892,1403,,D,Sanvordem(CT),2558,7804,0,548,0,0,0,131,0,0,213,210,3,0,0,0,0,3
30,585,5613,626824,0,0,VILLAGE,Sanvorcem,Rural,234.74,495,,D,Birondem,2016.11,4101,0,6,18.16,0,135.29,41.75,2.5,6,25.04,25.04,0,0,0,0,0,0
30,585,5613,626816,0,0,VILLAGE,Sanvordem,Rural,340.25,897,,D,Sanvordem,8157.53,3283,40.66,0,72.31,0,0,14.96,0,0,212.32,205.12,7.2,0,0,0,0,7.2
30,586,5615,626875,0,0,VILLAGE,Sao Jacinto Island,Rural,14.97,195,,D,Chicalim(CT),1975,13155,0,4.97,0,0,0,0,0,0,10,10,0,0,0,0,0,0
30,586,5615,626881,0,0,VILLAGE,Sao Jorge Island,Rural,94.32,0,,D,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,585,5612,626751,0,0,VILLAGE,Sarvona,Rural,785.86,3586,,C,Carapur - Sarvona,1645.86,9086,0,143.87,128.39,6,15,10,10,5,467.6,427.2,40.4,20,10,0,0,10.4
